nhdr_id,water,developed,barren,forest,shrubland,herbaceous,cultivated,wetlands,LANDUSE
nhdhr_120018046,6.2642889803,62.0027434842,0.1828989483,26.2917238226,0,0.4115226337,1.4631915866,3.3836305441,developed
nhdhr_120020218,3.7735849057,87.9245283018,0,7.9245283019,0,0.3773584906,0,0,developed
nhdhr_120020392,13.3514986376,22.8882833787,0,62.9427792915,0,0,0,0.8174386921,forest
nhdhr_120019336,11.2721417069,23.5104669887,0,27.2141706925,0,1.9323671498,3.3816425121,32.68921095,wetlands
nhdhr_121623866,5.2204176334,68.0974477959,0,14.7331786543,0,0.1160092807,1.5081206497,10.3248259861,developed
nhdhr_120020805,8.0924855491,42.1965317919,0.289017341,23.6994219654,0,0.289017341,13.5838150289,11.8497109827,developed
nhdhr_120017991,6.5019505852,52.7958387516,0,12.3537061118,0,0.2600780234,1.1703511053,26.9180754226,developed
nhdhr_143251029,7.4162679426,54.7248803828,0.0897129187,18.869617225,0,0.5083732057,4.5454545455,13.8456937799,developed
nhdhr_120018220,20.9741550696,15.5069582505,0,15.8051689861,0.1988071571,3.7773359841,26.3419483101,17.3956262425,cultivated
nhdhr_120020348,2.7431421446,0,0,61.5960099751,0,0,32.4189526184,3.2418952618,forest
nhdhr_121623004,4.8856548857,23.3887733889,0,29.9376299376,0,0.103950104,0.9355509356,40.7484407484,wetlands
nhdhr_120020211,11.575562701,24.7588424437,0,14.4694533762,0,0.6430868167,9.3247588425,39.22829582,wetlands
nhdhr_143249522,4.6546546547,16.6666666667,0,10.3603603604,0,1.5015015015,14.2642642643,52.5525525526,wetlands
nhdhr_151949390,5.1435705368,18.127340824,0.049937578,64.5443196005,0,0.9238451935,2.9712858926,8.2397003745,forest
nhdhr_120020364,11.8320610687,8.7786259542,0,76.7175572519,0,1.1450381679,0,1.5267175572,forest
nhdhr_120018493,5.9207839935,49.4487545938,0.0408329931,22.8664761127,0.0408329931,1.1024908126,3.6749693753,16.9048591262,developed
nhdhr_120019016,7.1016771488,12.8406708595,0,56.0272536687,0.8123689727,1.3364779874,0.0524109014,21.8291404612,forest
nhdhr_121623268,9.534368071,10.4212860311,0,56.5410199556,0,1.1086474501,1.5521064301,20.8425720621,forest
nhdhr_120018114,6.3651328682,59.1910323743,0.0235165007,23.7673434193,0.0862271694,0.2508426746,3.2923101043,7.0235948891,developed
nhdhr_120018135,4.6948356808,0,0,38.2629107982,0.9389671362,8.6854460094,23.2394366197,24.1784037559,forest
nhdhr_143250529,19.7168436394,15.7609827191,0.0416406413,8.4946908183,1.0618363523,0.5413283365,6.4751197169,47.9075577764,wetlands
nhdhr_109981506,4.6082949309,87.0967741936,0,2.3041474654,0,0,3.6866359447,2.3041474654,developed
nhdhr_120018074,5.3797468354,88.9240506329,0,5.6962025316,0,0,0,0,developed
nhdhr_120019861,8.6363636364,21.1363636364,0,22.6136363636,0,1.5909090909,28.1818181819,17.8409090909,cultivated
nhdhr_120020347,2.5462962963,25.6944444445,0,49.7685185185,0,5.0925925926,9.4907407407,7.4074074074,forest
nhdhr_120018146,22.4782386073,20.89093702,0.051203277,13.5176651306,0,16.5386584741,11.7767537122,14.7465437788,water
nhdhr_120018126,3.7924151697,34.9301397206,0,33.5329341317,0,0,2.5948103792,25.1497005988,developed
nhdhr_143249640,7.3221757322,66.9874476988,0.7949790795,15.8577405858,0,0.6276150628,5.1464435147,3.2635983264,developed
nhdhr_121623043,2.5514403292,75.9670781892,0,0.8230452675,0,0,0.1646090534,20.4938271604,developed
nhdhr_120018092,13.2231404959,45.8677685951,4.5454545455,28.9256198347,0,0,1.652892562,5.785123967,developed
nhdhr_120020334,7.5043630017,26.7015706806,0,33.3333333334,0,1.5706806283,21.1169284468,9.7731239092,forest
nhdhr_120018103,6.1946902655,72.5663716814,7.5221238938,3.5398230088,0,0.4424778761,7.5221238938,2.2123893805,developed
nhdhr_120019354,9.8746240411,3.5179615423,0.0033794059,46.1829610354,0.9665100875,1.5883207732,0.6961576155,37.170085499,forest
nhdhr_121839184,14.6031746032,12.6984126984,0.2116402116,51.6402116403,0,0.6349206349,2.328042328,17.8835978836,forest
nhdhr_120019749,6.2413697874,26.6500966583,0.0828500414,36.3987848661,0,3.2035349351,22.6456779895,4.7776857222,forest
nhdhr_120019058,14.5595998889,0,0,77.924423451,0.8196721311,0.6807446513,0,6.0155598777,forest
nhdhr_120018036,3.503649635,91.094890511,0,1.7518248175,0,0.2919708029,0,3.3576642336,developed
nhdhr_121623126,5.9382422803,37.5296912113,0.2375296912,27.3159144893,0,0,1.6627078384,27.3159144893,developed
nhdhr_143250615,14.8936170213,18.4397163121,0,55.3191489361,4.609929078,0,6.7375886525,0,forest
nhdhr_120018129,7.3322932917,0.7800312012,0,42.4336973478,0.1560062402,0.3120124805,11.7004680187,37.2854914196,forest
nhdhr_120018511,4.4117647059,7.9044117647,0,26.6544117647,0,0.3676470588,2.7573529411,57.9044117647,wetlands
nhdhr_120020235,8.3489681051,20.4502814259,0,39.4934333959,0,0.2814258912,28.330206379,3.095684803,forest
nhdhr_121623301,17.9699842022,26.7772511849,0.0394944708,36.7693522906,0.0789889415,1.0663507109,2.7251184834,14.5734597156,forest
nhdhr_120020567,6.2190812721,1.9434628975,0,78.9399293286,1.4134275618,0.6713780919,0,10.812720848,forest
nhdhr_120020210,18.4696569921,69.3931398417,0,5.8047493404,0,0,1.055408971,5.2770448549,developed
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,6.9052419355,9.9798387097,0.0504032258,63.9616935483,1.9657258065,1.0584677419,0,16.0786290322,forest
nhdhr_120020759,3.8267875126,8.2578046325,0,78.8519637463,0.1007049345,0.9063444109,0,8.0563947633,forest
nhdhr_120018090,7.2784810127,66.4556962025,0.6329113924,9.1772151899,0,6.3291139241,10.1265822785,0,developed
nhdhr_120018073,5.7142857143,83.0476190477,0,4.380952381,0,0.1904761905,0.9523809524,5.7142857143,developed
nhdhr_122851099,13.1386861314,42.6277372263,0,1.7518248175,0.1459854015,32.4087591241,4.2335766423,5.6934306569,developed
nhdhr_121623871,6.264806528,48.1442484865,1.1318768097,36.0884443275,0,1.4214266912,6.159515662,0.7896814952,developed
nhdhr_120020798,8.1433224756,13.4636264929,0,48.8599348534,0.108577633,1.5200868621,1.1943539631,26.7100977199,forest
nhdhr_120020354,15.1246303338,11.5335868188,0.0422475708,51.4575411914,0.1267427123,2.0278833967,7.6045627377,12.0828052387,forest
nhdhr_120018132,1.2953367876,17.6165803109,0,71.7616580311,0,0.2590673575,5.1813471503,3.8860103627,forest
nhdhr_120020359,1.652892562,0,0,45.1790633609,0,0,49.8622589532,3.305785124,cultivated
nhdhr_120020307,11.7526826776,37.4041900869,0,25.907000511,0,1.2774655084,14.9718957588,8.6867654573,developed
nhdhr_120018379,14.2743854084,13.7985725614,0.3172085646,5.5511498811,0,34.655035686,22.8390166534,8.564631245,herbaceous
nhdhr_120020236,16.8269230769,16.826923077,0.1602564103,27.7243589744,0,0.4807692308,29.8076923077,8.1730769231,cultivated
nhdhr_121859009,14.7260273973,58.5616438356,0,9.2465753424,0,1.0273972603,0,16.4383561644,developed
nhdhr_120018085,4.8780487805,79.512195122,0,13.4146341463,0,0,0.7317073171,1.4634146341,developed
nhdhr_120018459,8.9071383449,20.593809223,0.0631711939,34.3651295009,0,0.8212255212,6.9488313329,28.3006948831,forest
nhdhr_123148239,13.8034508627,11.1777944487,0,45.6864216053,0,0.5251312828,0.4126031508,28.3945986497,forest
nhdhr_151949699,5.948372615,52.7123082679,0.1496445941,24.1301907969,0,0.9726898616,5.5368499813,10.5499438833,developed
nhdhr_120018100,9.337860781,75.5517826825,0.8488964346,5.9422750424,0,2.2071307301,6.1120543294,0,developed
nhdhr_129223861,11.9474313023,31.4217443249,8.3632019116,16.4277180406,0.8363201912,0.2986857826,0,30.7048984468,developed
nhdhr_120020387,7.1428571429,74,0,16.5714285714,0,0.8571428571,0.5714285714,0.8571428571,developed
nhdhr_139268769,9.886547812,48.29821718,0,5.9967585089,0.4862236629,0.3241491086,11.1831442464,23.8249594814,developed
nhdhr_120018107,8.4745762712,31.779661017,0,54.6610169492,0,0,4.2372881356,0.8474576271,forest
nhdhr_120018081,7.2512647555,86.0033726813,0,4.2158516021,0,0.5059021922,0.1686340641,1.8549747048,developed
nhdhr_120020200,5.1435406699,82.057416268,0,6.3397129186,0,0.2392344498,0.3588516746,5.8612440191,developed
nhdhr_120018061,1.6611295681,15.6146179402,0,12.2923588039,0,0,0,70.4318936877,wetlands
nhdhr_120020208,12.5475285171,49.4296577946,0,29.0874524715,0.1901140684,0.7604562738,6.6539923954,1.3307984791,developed
nhdhr_143249864,4.4943820225,41.1985018727,0,7.1161048689,0,0,1.4981273408,45.6928838951,wetlands
nhdhr_143416561,7.3558590103,11.537114846,0.0787815126,6.4133986928,0.1050420168,4.1608309991,45.5678104575,24.781162465,cultivated
nhdhr_120020213,10.4712041885,24.6073298429,0,24.8691099476,0.5235602094,0.5235602094,0,39.0052356021,wetlands
nhdhr_120018510,11.3964686998,36.5168539325,0,30.4173354735,0,2.3274478331,3.8523274478,15.4895666131,developed
nhdhr_120020250,37.4301675978,10.3351955307,0.2793296089,14.5251396648,1.1173184358,3.3519553073,24.8603351956,8.1005586592,water
nhdhr_143249470,11.1305215872,42.1761916645,0,27.0776141753,0.2495632643,0.7486897929,6.1891689543,12.4282505615,developed
nhdhr_105567402,8.3904579106,3.6376930811,0.0091399324,7.3302257564,0.0639795266,0.0822593913,0.0456996618,80.44054474,wetlands
nhdhr_120020398,1.6393442623,0.1490312966,0,44.7093889717,0,1.4903129657,45.4545454545,6.5573770491,cultivated
nhdhr_120020204,6.8965517241,5.329153605,0,75.2351097179,0.6269592476,0,3.4482758621,8.4639498433,forest
nhdhr_120018108,7.0707070707,12.7946127946,0.3367003367,21.5488215488,0,0,0,58.2491582491,wetlands
nhdhr_120019712,4.197080292,10.0364963503,0,55.6569343065,3.4671532847,2.3722627737,12.9562043796,11.3138686131,forest
nhdhr_120018212,6.4377682403,0,0,38.1974248927,0.8583690987,0,0,54.5064377683,wetlands
nhdhr_120018495,17.8937558248,28.3317800559,0,32.7120223672,0,4.753028891,4.9394221808,11.3699906803,forest
nhdhr_120019913,9.1038406828,11.8065433855,0,47.0839260313,0,1.1379800853,0,30.867709815,forest
nhdhr_120019638,10.1848049281,29.0759753593,0,39.5893223819,0.0410677618,3.8603696099,8.4188911704,8.8295687885,forest
nhdhr_120018139,5.5288461538,4.3269230769,0,31.0096153846,0.9615384615,0.7211538462,15.1442307692,42.3076923076,wetlands
nhdhr_120018098,13.5220125786,44.3396226415,0,17.2955974843,0,2.2012578616,3.1446540881,19.4968553459,developed
nhdhr_141288680,46.8487394958,3.5714285714,0,30.6722689076,0.2100840336,0.6302521008,17.8571428572,0.2100840336,water
nhdhr_137059882,4.8286604361,14.875389408,0.0778816199,28.5825545171,0,0.3115264798,29.2056074766,22.1183800623,cultivated
nhdhr_139269431,9.5419847328,28.8440567067,0.4362050164,18.8113413304,0,1.3631406761,7.5790621592,33.4242093784,wetlands
nhdhr_120019732,12.9181677818,27.5347400927,0.025733402,10.9109624292,0,2.0586721565,18.605249614,27.946474524,wetlands
nhdhr_120018014,14.6853146853,23.7762237762,0,12.5874125874,0,0.6993006993,11.4685314686,36.7832167832,wetlands
nhdhr_120020199,5.7529610829,32.8257191201,1.0152284264,35.0253807107,0.5076142132,1.3536379019,1.0152284264,22.5042301185,forest
nhdhr_120020636,9.5903165736,5.2141527001,0,67.7839851024,1.0242085661,0,0,16.3873370577,forest
nhdhr_120019704,10.9826589595,55.6358381503,0,9.9710982659,0,0.1445086705,11.4161849711,11.8497109827,developed
nhdhr_120019854,12.2706009356,17.8481468154,0,35.3724361282,1.5113350126,1.3314141778,3.8143216985,27.8517452321,forest
nhdhr_120018038,8.0729166667,75.5208333333,0.2604166667,2.6041666667,0,0.5208333333,4.6875,8.3333333333,developed
nhdhr_120018091,6.1046511628,38.3720930233,0,33.4302325582,0,0.1453488372,4.215116279,17.7325581395,developed
nhdhr_120018078,5.3398058252,43.6893203883,0,5.0970873786,0,0.9708737864,6.5533980583,38.3495145631,developed
nhdhr_147307413,1.320582878,3.1193078325,1.6621129326,0,0,31.2841530055,61.6120218579,1.0018214936,cultivated
nhdhr_120018204,7.5880758808,3.2520325203,0,36.3143631436,0,0,14.0921409214,38.7533875339,wetlands
nhdhr_120020207,38.9140271493,23.9819004525,0.2262443439,14.0271493213,0.9049773756,0,0,21.9457013575,water
nhdhr_143249705,2.6615969582,40.3041825096,0,3.6755386566,0,0,0.2534854246,53.1051964512,wetlands
